"";"Title";"Rating"
"1";"The Shawshank Redemption";"9.2"
"2";"The Godfather";"9.2"
"3";"The Dark Knight";"9.0"
"4";"The Godfather Part II";"9.0"
"5";"12 Angry Men";"9.0"
"6";"Schindler's List";"8.9"
"7";"The Lord of the Rings: The Return of the King";"8.9"
"8";"Pulp Fiction";"8.8"
"9";"The Lord of the Rings: The Fellowship of the Ring";"8.8"
"10";"The Good, the Bad and the Ugly";"8.8"
"11";"Forrest Gump";"8.8"
"12";"Fight Club";"8.7"
"13";"The Lord of the Rings: The Two Towers";"8.7"
"14";"Inception";"8.7"
"15";"Star Wars: Episode V - The Empire Strikes Back";"8.7"
"16";"The Matrix";"8.7"
"17";"Goodfellas";"8.7"
"18";"One Flew Over the Cuckoo's Nest";"8.6"
"19";"Se7en";"8.6"
"20";"Seven Samurai";"8.6"
"21";"It's a Wonderful Life";"8.6"
"22";"The Silence of the Lambs";"8.6"
"23";"City of God";"8.6"
"24";"Saving Private Ryan";"8.6"
"25";"Life Is Beautiful";"8.6"
"26";"Interstellar";"8.6"
"27";"The Green Mile";"8.6"
"28";"Star Wars: Episode IV - A New Hope";"8.5"
"29";"Terminator 2: Judgment Day";"8.5"
"30";"Back to the Future";"8.5"
"31";"Spirited Away";"8.5"
"32";"Psycho";"8.5"
"33";"The Pianist";"8.5"
"34";"Parasite";"8.5"
"35";"Léon: The Professional";"8.5"
"36";"The Lion King";"8.5"
"37";"Gladiator";"8.5"
"38";"American History X";"8.5"
"39";"The Departed";"8.5"
"40";"The Usual Suspects";"8.5"
"41";"The Prestige";"8.5"
"42";"Whiplash";"8.5"
"43";"Casablanca";"8.5"
"44";"Harakiri";"8.5"
"45";"Grave of the Fireflies";"8.5"
"46";"The Intouchables";"8.5"
"47";"Modern Times";"8.4"
"48";"Once Upon a Time in the West";"8.4"
"49";"Rear Window";"8.4"
"50";"Cinema Paradiso";"8.4"
"51";"Alien";"8.4"
"52";"City Lights";"8.4"
"53";"Apocalypse Now";"8.4"
"54";"Memento";"8.4"
"55";"Indiana Jones and the Raiders of the Lost Ark";"8.4"
"56";"Django Unchained";"8.4"
"57";"WALL·E";"8.4"
"58";"The Lives of Others";"8.4"
"59";"Sunset Blvd.";"8.4"
"60";"Paths of Glory";"8.4"
"61";"The Shining";"8.4"
"62";"The Great Dictator";"8.4"
"63";"Avengers: Infinity War";"8.4"
"64";"Witness for the Prosecution";"8.4"
"65";"Aliens";"8.3"
"66";"Spider-Man: Into the Spider-Verse";"8.3"
"67";"American Beauty";"8.3"
"68";"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb";"8.3"
"69";"The Dark Knight Rises";"8.3"
"70";"Oldboy";"8.3"
"71";"Amadeus";"8.3"
"72";"Inglourious Basterds";"8.3"
"73";"Coco";"8.3"
"74";"Joker";"8.3"
"75";"Toy Story";"8.3"
"76";"Braveheart";"8.3"
"77";"The Boat";"8.3"
"78";"Avengers: Endgame";"8.3"
"79";"Princess Mononoke";"8.3"
"80";"Once Upon a Time in America";"8.3"
"81";"Good Will Hunting";"8.3"
"82";"Your Name.";"8.3"
"83";"Requiem for a Dream";"8.3"
"84";"Singin' in the Rain";"8.3"
"85";"3 Idiots";"8.3"
"86";"Toy Story 3";"8.3"
"87";"High and Low";"8.3"
"88";"Top Gun: Maverick";"8.3"
"89";"Star Wars: Episode VI - Return of the Jedi";"8.3"
"90";"Capernaum";"8.3"
"91";"Eternal Sunshine of the Spotless Mind";"8.3"
"92";"2001: A Space Odyssey";"8.3"
"93";"Reservoir Dogs";"8.3"
"94";"The Hunt";"8.3"
"95";"Come and See";"8.3"
"96";"Citizen Kane";"8.3"
"97";"M";"8.3"
"98";"Lawrence of Arabia";"8.3"
"99";"North by Northwest";"8.2"
"100";"Vertigo";"8.2"
"101";"Amélie";"8.2"
"102";"The Apartment";"8.2"
"103";"A Clockwork Orange";"8.2"
"104";"Ikiru";"8.2"
"105";"Double Indemnity";"8.2"
"106";"Full Metal Jacket";"8.2"
"107";"Hamilton";"8.2"
"108";"Scarface";"8.2"
"109";"To Kill a Mockingbird";"8.2"
"110";"The Sting";"8.2"
"111";"Incendies";"8.2"
